ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_gps_tracking,action_screenshots,action_create_custom_field,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
3,2,0,5,8,0,0,0,0,0,0,0,0,0,0,,,,Canada,2,0,6,3,0,184.925,No
6,1,0,35,106,0,33,0,1,0,5,8,0,0,3,,,3,United Kingdom,37,9,9,6,0,608.842,No
2,0,0,3,3,0,0,0,0,0,10,2,1,0,9,,1,,Florida,98,3,12,3,0,395.122,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,Kentucky,0,1,2,1,0,25.974,Yes
1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,,,Ireland,21,2,3,1,0,38.961,Yes
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,Philippines,32,14,14,1,0,168.116,No
9,0,0,0,58,0,0,0,0,1,1,0,0,0,0,,3,,Albania,245,11,13,9,0,912.119,No
3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,,South Africa,53,1,12,3,0,406.068,No
1,0,0,5,8,0,0,0,0,6,0,0,0,0,0,,,2,Latvia,1,2,2,1,0,25.974,No
3,0,0,50,0,0,23,0,0,2,0,1,0,0,18,2,2,4,Connecticut,0,5,5,3,0,194.805,No
1,0,0,1,14,0,0,0,0,18,0,0,0,3,8,1,,,Kyrgyzstan,0,6,5,1,0,64.935,No
1,0,0,18,4,0,0,0,0,0,0,0,0,106,6,1,1,,United Kingdom,213,13,6,1,0,77.922,No
1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1,,California,377,12,0,1,0,0,No
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,Maryland,15,12,11,1,0,142.857,No
2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,,1,,,47,8,6,2,0,155.844,No
9,3,0,7,0,0,0,1,0,0,1,0,0,0,0,2,,4,,8,7,7,9,0,818.181,No
1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,,,,Slovakia,108,6,2,1,0,25.974,No
3,0,0,8,5,1,0,1,0,0,5,0,0,0,0,,1,,Indonesia,7,5,5,4,0,222.157,No
1,0,0,1,1,0,0,0,0,22,0,0,0,0,5,2,,,Philippines,153,9,6,1,0,49.062,Yes
15,4,0,33,20,0,0,0,0,0,0,0,0,0,226,,,,Florida,1,3,7,18,0,1584.453,No
12,5,2,6,1,0,0,0,0,0,0,0,0,0,0,1,1,,Florida,36,1,4,16,0,122.356,No
1,0,0,25,0,0,0,0,0,0,0,0,0,7,0,1,,,Illinois,197,11,4,1,0,51.948,No
14,0,0,25,27,0,0,0,0,0,22,2,0,0,19,,3,6,Alabama,25,0,16,15,0,2138.227,No
1,0,0,4,20,0,0,0,0,0,0,0,0,0,0,,,,France,14,11,10,1,0,129.87,No
1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,,,,Israel,0,0,1,1,0,12.987,Yes
14,0,2,12,5,0,0,0,0,0,0,0,0,0,20,,,3,Germany,10,0,11,16,0,639.938,No
6,0,1,19,77,1,0,0,0,1,0,0,0,0,85,,,,Angola,231,7,3,8,0,175.058,Yes
1,0,0,1,2,0,0,1,0,7,0,0,0,0,0,1,2,,Ukraine,9,4,3,1,0,38.961,No
3,0,0,30,11,0,0,0,0,0,0,0,0,0,52,,2,,United Kingdom,0,0,1,3,0,38.961,Yes
5,2,0,3,38,0,43,1,0,11,3,0,0,0,0,1,1,,Belarus,285,11,11,5,0,354.393,No
1,0,0,6,1,1,0,0,0,3,0,0,0,0,0,,,,Netherlands,1,10,11,1,0,142.857,No
1,0,0,151,16,0,0,0,0,0,0,0,0,0,0,,,,Australia,97,8,3,1,0,38.961,No
8,2,0,21,4,0,2,0,0,0,0,0,0,2,3,,,,Australia,334,11,17,8,0,1332.604,No
11,0,0,41,1,0,0,0,0,0,0,1,0,0,73,,,,Chile,52,2,2,11,0,285.714,Yes
1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,,,2,New Zealand,0,3,3,1,0,38.961,No
1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,Switzerland,0,4,4,1,0,51.948,No
3,0,0,6,0,0,1,0,0,14,0,0,0,0,10,,,,Connecticut,0,1,1,3,0,38.961,No
3,2,0,2,0,0,6,0,0,0,0,0,0,12,0,,,,Singapore,13,8,8,3,0,311.688,No
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,0,1,2,1,0,25.974,Yes
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,Germany,0,0,1,1,0,12.987,Yes
1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,,,Ohio,13,10,8,1,0,103.896,No
1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,,New Jersey,7,4,5,1,0,64.935,Yes
11,0,0,18,0,0,0,1,0,0,0,0,0,0,0,,1,,Seychelles,32,1,4,11,0,427.843,No
0,0,0,2,0,0,0,0,0,4,2,0,0,2,0,1,1,4,Canada,0,3,4,1,0,51.948,Yes
1,0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,2,,Puerto Rico,0,1,1,1,0,12.987,No
1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,,Illinois,0,13,7,1,0,90.909,No
5,0,0,20,2,0,0,0,0,3,0,0,0,0,5,,,,Indonesia,5,2,2,5,0,129.87,No
1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,1,,Philippines,0,8,5,2,0,114.777,Yes
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,,Arizona,209,10,4,1,0,51.948,Yes
2,0,0,13,15,0,0,0,0,0,0,0,0,0,0,,1,,North Carolina,10,0,4,2,0,77.922,No
1,0,0,1,2,0,0,0,0,0,0,1,0,0,3,2,2,,Ukraine,135,11,2,1,0,25.974,Yes
6,0,0,1,40,0,6,0,0,13,0,0,0,0,1,,1,,Arizona,126,4,3,6,0,556.998,Yes
11,4,0,9,40,1,0,0,0,0,0,0,0,0,0,1,1,,Florida,69,2,4,11,0,516.88,No
1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,,,Texas,0,1,2,1,0,25.974,Yes
